Protein stable ID	Gene name
	MT-TF
	MT-RNR1
	MT-TV
	MT-RNR2
	MT-TL1
ENSP00000354687	MT-ND1
	MT-TI
	MT-TQ
	MT-TM
ENSP00000355046	MT-ND2
	MT-TW
	MT-TA
	MT-TN
	MT-TC
	MT-TY
ENSP00000354499	MT-CO1
	MT-TS1
	MT-TD
ENSP00000354876	MT-CO2
	MT-TK
ENSP00000355265	MT-ATP8
ENSP00000354632	MT-ATP6
ENSP00000354982	MT-CO3
	MT-TG
ENSP00000355206	MT-ND3
	MT-TR
ENSP00000354728	MT-ND4L
ENSP00000354961	MT-ND4
	MT-TH
	MT-TS2
	MT-TL2
ENSP00000354813	MT-ND5
ENSP00000354665	MT-ND6
	MT-TE
ENSP00000354554	MT-CYB
	MT-TT
	MT-TP
	5S_rRNA
	
	U6
ENSP00000484923	
ENSP00000478665	
ENSP00000484693	
ENSP00000479139	
ENSP00000477677	
	5_8S_rRNA
	RNA5-8SN5
ENSP00000481127	
ENSP00000482462	
ENSP00000482514	
ENSP00000481613	
	U2
	U1
ENSP00000473163	
ENSP00000478882	
ENSP00000478035	
ENSP00000480106	
	RNA5-8SN4
ENSP00000479378	
ENSP00000480079	
ENSP00000482251	
ENSP00000482038	
ENSP00000478725	
	Y_RNA
ENSP00000483280	
ENSP00000478910	MAFIP
	RPL23AP45
ENSP00000484596	
ENSP00000479921	
ENSP00000478289	
ENSP00000481152	
ENSP00000484918	
	LINC01784
ENSP00000488512	PRAMEF11
	PRAMEF30P
ENSP00000488130	HNRNPCL1
ENSP00000487743	PRAMEF2
ENSP00000488161	PRAMEF4
ENSP00000488485	PRAMEF10
ENSP00000347211	PRAMEF7
ENSP00000488446	PRAMEF7
	RNU6-1072P
	PRAMEF29P
ENSP00000487731	PRAMEF6
ENSP00000488780	PRAMEF6
	PRAMEF28P
ENSP00000488085	PRAMEF27
ENSP00000488124	HNRNPCL3
ENSP00000488003	PRAMEF25
ENSP00000488324	PRAMEF25
	PRAMEF34P
	PRAMEF35P
ENSP00000488742	HNRNPCL2
ENSP00000488002	PRAMEF26
ENSP00000488276	HNRNPCL4
ENSP00000488044	PRAMEF9
ENSP00000492522	PRAMEF13
ENSP00000491482	PRAMEF13
ENSP00000488059	PRAMEF18
	PRAMEF31P
ENSP00000488527	PRAMEF5
	PRAMEF32P
	RNU6-771P
ENSP00000488892	PRAMEF8
ENSP00000488817	PRAMEF8
ENSP00000488367	PRAMEF8
ENSP00000491658	PRAMEF33
	PRAMEF36P
ENSP00000459325	OR9G4
ENSP00000485881	OR5G3
	OR9G3P
	OR5G1P
	OR5G4P
	OR9G2P
ENSP00000461395	OR9G1
ENSP00000458970	OR9G9
	LINC02735
	OR5G5P
ENSP00000499886	GRK1
	GRK1
	LINC00552
ENSP00000516890	TOLLIP
ENSP00000516891	TOLLIP
ENSP00000516892	TOLLIP
ENSP00000516893	TOLLIP
ENSP00000516894	TOLLIP
ENSP00000516895	TOLLIP
ENSP00000516896	TOLLIP
	TOLLIP
	TOLLIP-DT
	LINC02689
ENSP00000516897	BRSK2
ENSP00000516898	BRSK2
ENSP00000516900	BRSK2
ENSP00000516899	BRSK2
ENSP00000516901	BRSK2
ENSP00000516902	BRSK2
ENSP00000516903	BRSK2
ENSP00000516904	BRSK2
ENSP00000516905	BRSK2
ENSP00000516906	BRSK2
	BRSK2
ENSP00000516908	BRSK2
ENSP00000516907	BRSK2
ENSP00000516909	DUSP8
ENSP00000516910	DUSP8
	DUSP8
	KRTAP5-AS1
ENSP00000516911	KRTAP5-1
ENSP00000516912	KRTAP5-2
ENSP00000516913	KRTAP5-3
ENSP00000516914	KRTAP5-4
ENSP00000516916	KRTAP5-5
	FAM99A
	FAM99B
	LINC02708
	MOB2
ENSP00000516915	MOB2
ENSP00000518169	MOB2
	TSPY24P
	ZNF92P1Y
	RBMY3AP
	SERBP1P2
	TSPY12P
	DUX4L19
	TTTY12
	TTTY7B
	OFD1P3Y
	RBMY2HP
	TTTY6
	ELOCP35
	SLC9B1P1
	USP12PY
	TTTY23
	KDM5DP1
	TTTY7
	LINC00279
	DUX4L17
ENSP00000302319	PRY
ENSP00000474674	PRY
	TSPY18P
	PCMTD1P1
	HSFY7P
	ZNF736P6Y
	TUSC2P1
	RBMY2AP
	TTTY2B
	TTTY21
	PUDPP1
	CDY3P
	TSPY25P
	CDRT15P10
	USP9YP22
	TSPY16P
	USP9YP4
	USP9Y
ENSP00000498372	USP9Y
ENSP00000342812	USP9Y
ENSP00000406876	USP9Y
	ELOCP4
	RBMY1A3P
	TTTY20
	FAM197Y8
ENSP00000516917	TSPY8
ENSP00000516918	TSPY8
ENSP00000516919	TSPY8
	TSPY8
	FAM197Y7
ENSP00000516920	TSPY4
ENSP00000516921	TSPY4
